rgn_id,taxa_code,taxa_group,year,tonnes,label
5,Blue shrimp_1,SH,1983,16,New Caledonia
5,Blue shrimp_1,SH,1984,51,New Caledonia
5,Blue shrimp_1,SH,1985,87,New Caledonia
5,Blue shrimp_1,SH,1986,59,New Caledonia
5,Blue shrimp_1,SH,1987,87,New Caledonia
5,Blue shrimp_1,SH,1988,217,New Caledonia
5,Blue shrimp_1,SH,1989,296,New Caledonia
5,Blue shrimp_1,SH,1990,540,New Caledonia
5,Blue shrimp_1,SH,1991,644,New Caledonia
5,Blue shrimp_1,SH,1992,733,New Caledonia
5,Blue shrimp_1,SH,1993,631,New Caledonia
5,Blue shrimp_1,SH,1994,691,New Caledonia
5,Blue shrimp_1,SH,1995,879,New Caledonia
5,Blue shrimp_1,SH,1996,992,New Caledonia
5,Blue shrimp_1,SH,1997,1107,New Caledonia
5,Blue shrimp_1,SH,1998,1569,New Caledonia
5,Blue shrimp_1,SH,1999,1820,New Caledonia
5,Blue shrimp_1,SH,2000,1730,New Caledonia
5,Blue shrimp_1,SH,2001,1837,New Caledonia
5,Blue shrimp_1,SH,2002,1844,New Caledonia
5,Blue shrimp_1,SH,2003,1705,New Caledonia
5,Blue shrimp_1,SH,2004,2211,New Caledonia
5,Blue shrimp_1,SH,2005,2440,New Caledonia
5,Blue shrimp_1,SH,2006,2278,New Caledonia
5,Blue shrimp_1,SH,2007,1843,New Caledonia
5,Blue shrimp_1,SH,2008,2036,New Caledonia
5,Blue shrimp_1,SH,2009,1860,New Caledonia
5,Blue shrimp_1,SH,2010,1156,New Caledonia
5,Blue shrimp_1,SH,2011,1539,New Caledonia
5,Blue shrimp_1,SH,2012,1643,New Caledonia
5,Blue shrimp_1,SH,2013,1573,New Caledonia
5,Blue shrimp_1,SH,2014,1636,New Caledonia
5,Blue shrimp_1,SH,2015,1252,New Caledonia
5,Blue shrimp_1,SH,2016,1587,New Caledonia
5,Pacific cupped oyster_2,BI,1989,92,New Caledonia
5,Pacific cupped oyster_2,BI,1990,91,New Caledonia
5,Pacific cupped oyster_2,BI,1991,110,New Caledonia
5,Pacific cupped oyster_2,BI,1992,114,New Caledonia
5,Pacific cupped oyster_2,BI,1993,86,New Caledonia
5,Pacific cupped oyster_2,BI,1994,89,New Caledonia
5,Pacific cupped oyster_2,BI,1995,60,New Caledonia
5,Pacific cupped oyster_2,BI,1996,69,New Caledonia
5,Pacific cupped oyster_2,BI,1997,45,New Caledonia
5,Pacific cupped oyster_2,BI,1998,27,New Caledonia
5,Pacific cupped oyster_2,BI,1999,30,New Caledonia
5,Pacific cupped oyster_2,BI,2000,31,New Caledonia
5,Pacific cupped oyster_2,BI,2001,50,New Caledonia
5,Pacific cupped oyster_2,BI,2002,67,New Caledonia
5,Pacific cupped oyster_2,BI,2003,70,New Caledonia
5,Pacific cupped oyster_2,BI,2004,69,New Caledonia
5,Pacific cupped oyster_2,BI,2005,84,New Caledonia
5,Pacific cupped oyster_2,BI,2006,87,New Caledonia
5,Pacific cupped oyster_2,BI,2007,80,New Caledonia
5,Pacific cupped oyster_2,BI,2008,67,New Caledonia
5,Pacific cupped oyster_2,BI,2009,60,New Caledonia
5,Pacific cupped oyster_2,BI,2010,64,New Caledonia
5,Pacific cupped oyster_2,BI,2011,22,New Caledonia
5,Pacific cupped oyster_2,BI,2012,20,New Caledonia
5,Pacific cupped oyster_2,BI,2013,20,New Caledonia
5,Pacific cupped oyster_2,BI,2014,20,New Caledonia
5,Pacific cupped oyster_2,BI,2015,0,New Caledonia
5,Pacific cupped oyster_2,BI,2016,0,New Caledonia
