year,a_prot_1km,a_prot_3nm
2000,2605,9757.75
2001,2937.25,11787.5
2002,2940,11801.75
2003,2984,11968.5
2004,2984,11969
2005,2984.25,11984.75
2006,2986,11993
2007,2995.25,11993.75
2008,2995.25,11995.25
2009,2995.25,11995.25
2010,2995.25,11998.25
2011,2995.25,11998.25
2012,2995.25,11998.25
2013,2995.25,11998.25
2014,2995.25,11998.25
2015,2995.25,11998.25
2016,3018.5,12463.75
2017,3018.5,12463.75
2018,3018.5,12463.75
