sciname,comname,iucn_sid,year,cat_code,category,cat_score
Balaenoptera musculus,Blue whale,2477,2016,EN,Endangered,0.6
Balaenoptera physalus,Fin whale,2478,2016,EN,Endangered,0.6
Carcharhinus melanopterus,Blacktip reef shark,39375,2016,NT,Near Threatened,0.2
Carcharodon carcharias,Great White Shark,3855,2016,VU,Vulnerable,0.4
Caretta caretta,Loggerhead Turtle,3897,2016,VU,Vulnerable,0.4
Caretta caretta,Loggerhead Turtle,83652278,2016,LC,Least Concern,0
Cheilinus undulatus,"Humphead wrasse, Napoleon Wrasse",4592,2016,EN,Endangered,0.6
Chelonia mydas,Green Turtle,4615,2016,EN,Endangered,0.6
Dermochelys coriacea,Leatherback Turtle,6494,2016,VU,Vulnerable,0.4
Dermochelys coriacea,Leatherback Turtle,46967817,2016,CR,Critically Endangered,0.8
Eretmochelys imbricata,Hawksbill Turtle,8005,2016,CR,Critically Endangered,0.8
Isurus oxyrinchus,Shortfin Mako,39341,2016,VU,Vulnerable,0.4
Lepidochelys olivacea,Olive Ridley Turtle,11534,2016,VU,Vulnerable,0.4
Megachasma pelagios,Megamouth Shark,39338,2016,LC,Least Concern,0
Megaptera novaeangliae,Humpback Whale,13006,2016,LC,Least Concern,0
Orcaella brevirostris,Irrawaddy Dolphin,15419,2016,VU,Vulnerable,0.4
Orcaella brevirostris,Irrawaddy Dolphin,44187,2016,CR,Critically Endangered,0.8
Prionace glauca,Blue Shark,39381,2016,NT,Near Threatened,0.2
Rhincodon typus,Whale Shark,19488,2016,EN,Endangered,0.6
Steno bredanensis,Rough Toothed Dolphin,20738,2016,LC,Least Concern,0
Triaenodon obesus,Whitetip reef shark,39384,2016,NT,Near Threatened,0.2
Balaenoptera musculus,Blue whale,2477,2015,EN,Endangered,0.6
Balaenoptera physalus,Fin whale,2478,2015,EN,Endangered,0.6
Carcharhinus melanopterus,Blacktip reef shark,39375,2015,NT,Near Threatened,0.2
Carcharodon carcharias,Great White Shark,3855,2015,VU,Vulnerable,0.4
