sciname,comname,iucn_sid,cat_code
Diaphus diadematus,NA,154616,LC
Helcogramma striata,NA,154626,LC
Uropterygius fuscoguttatus,NA,154628,LC
Siokunichthys nigrolineatus,NA,154629,LC
Uranoscopus oligolepis,NA,154632,LC
Malacocephalus luzonensis,NA,154633,DD
Myctophum lychnobium,NA,154638,LC
Gobiodon histrio,NA,154641,LC
Thamnaconus melanoproctes,NA,154664,DD
Taeniamia buruensis,NA,154669,LC
Parupeneus multifasciatus,NA,154670,LC
Bathycongrus retrotinctus,NA,154672,DD
Bathyuroconger vicinus,NA,154673,LC
Lampanyctus jordani,NA,154674,LC
Apogon sealei,NA,154678,LC
Skythrenchelys zabra,NA,154683,LC
Apogon semilineatus,NA,154688,DD
Synchiropus claudiae,NA,154691,LC
Luzonichthys earlei,NA,154695,LC
Grammonus robustus,NA,154696,LC
Johnius laevis,NA,154704,DD
Coryphaena hippurus,NA,154712,LC
Eustomias vulgaris,NA,154715,LC
Sufflamen fraenatum,NA,154721,LC
Anodontostoma selangkat,NA,154723,DD
Minous quincarinatus,NA,154736,LC
Heteroconger taylori,NA,154752,DD
Zenarchopterus pappenheimi,NA,154761,DD
Xestochilus nebulosus,NA,154766,LC
Nematalosa nasus,NA,154774,LC
Anodontostoma thailandiae,NA,154792,LC
Oneirodes schmidti,NA,154794,LC
Secutor hanedai,NA,154802,LC
Hoplolatilus fourmanoiri,NA,154819,LC
Alepisaurus ferox,NA,154820,LC
Pterotolithus maculatus,NA,154822,LC
Laeops cypho,NA,154824,DD
Inimicus caledonicus,NA,154827,LC
Bothus mancus,NA,154833,LC
Helcogramma inclinata,NA,154834,LC
Cabillus macrophthalmus,NA,154835,DD
Schindleria praematura,NA,154836,LC
Barbuligobius boehlkei,NA,154846,LC
Gnatholepis cauerensis,NA,154848,LC
Helcogramma springeri,NA,154849,LC
Myripristis pralinia,NA,154850,LC
Hippichthys spicifer,NA,154855,LC
Istigobius rigilius,NA,154861,LC
Parioglossus taeniatus,NA,154863,LC
Myctophum spinosum,NA,154869,LC
Apogon compressus,NA,154872,LC
Pomacentrus smithi,NA,154878,LC
Pomacentrus wardi,NA,154888,LC
Pseudanthias ventralis,NA,154889,LC
Alepocephalus owstoni,NA,154894,LC
Chelidonichthys kumu,NA,154895,LC
Eviota storthynx,NA,154898,LC
Nemipterus virgatus,NA,154900,VU
Gazza achlamys,NA,154901,LC
Brama dussumieri,NA,154906,LC
Apogon neotes,NA,154910,LC
Apogon fleurieu,NA,154912,LC
Chaenophryne longiceps,NA,154916,LC
Pycnocraspedum squamipinne,NA,154918,LC
Ateleopus japonicus,NA,154919,LC
Tetrosomus gibbosus,NA,154933,LC
Anacanthus barbatus,NA,154935,LC
Erisphex pottii,NA,154937,LC
Bhanotia nuda,NA,154938,LC
Parapercis striolata,NA,154944,LC
Pseudanthias cichlops,NA,154945,LC
Astronesthes indopacificus,NA,154948,LC
Lethrinus genivittatus,NA,154951,LC
Apogonichthys ocellatus,NA,154952,LC
Heteroclinus roseus,NA,154958,LC
Bryaninops amplus,NA,154959,LC
Acreichthys hajam,NA,154965,DD
Amblygobius buanensis,NA,154967,LC
Bassozetus robustus,NA,154973,LC
Xanthichthys mento,NA,154974,LC
Drombus halei,NA,154976,LC
Apogon indicus,NA,154978,LC
Physiculus roseus,NA,154984,LC
Pteraclis aesticola,NA,154993,LC
Calumia godeffroyi,NA,154996,LC
Bregmaceros atlanticus,NA,154997,LC
Argyropelecus hemigymnus,NA,154998,LC
Etelis carbunculus,NA,154999,LC
Chalixodytes tauensis,NA,155001,LC
Pseudobathylagus milleri,NA,155009,LC
Scorpaenopsis ramaraoi,NA,155010,LC
Sternoptyx obscura,NA,155012,LC
Alectis ciliaris,NA,155014,LC
Callionymus sagitta,NA,155023,LC
Pelates sexlineatus,NA,155026,LC
Macroramphosus scolopax,NA,155030,LC
Callionymus whiteheadi,NA,155031,DD
Saurenchelys fierasfer,NA,155039,LC
Decapterus russelli,NA,155043,LC
Apogon margaritophorus,NA,155046,LC
Callogobius clitellus,NA,155050,LC
Dactyloptena gilberti,NA,155052,LC
Himantolophus cornifer,NA,155055,LC
Uranoscopus japonicus,NA,155057,LC
Pomacentrus callainus,NA,155061,LC
Apogon notatus,NA,155064,LC
Samariscus huysmani,NA,155066,DD
Remora brachyptera,NA,155068,LC
Gorgasia maculata,NA,155071,LC
Doryrhamphus janssi,NA,155073,LC
Remora albescens,NA,155075,LC
Pterygotrigla hemisticta,NA,155078,LC
Champsodon capensis,NA,155084,LC
Lutjanus decussatus,NA,155089,LC
Cociella punctata,NA,155090,LC
Enchelycore schismatorhynchus,NA,155091,LC
Laeops kitaharae,NA,155092,DD
Caesio caerulaurea,NA,155097,LC
Cheilodipterus singapurensis,NA,155102,LC
Platycephalus indicus,NA,155105,DD
Stemonosudis gracilis,NA,155112,LC
Diancistrus novaeguineae,NA,155114,LC
Lethrinus reticulatus,NA,155115,LC
Sardinella albella,NA,155116,LC
Lethrinus conchyliatus,NA,155118,LC
Pterois lunulata,NA,155129,LC
Caranx sexfasciatus,NA,155130,LC
Alepes vari,NA,155134,LC
Sillago japonica,NA,155135,LC
Kaupichthys brachychirus,NA,155141,LC
Laemonema rhodochir,NA,155142,LC
Myripristis trachyacron,NA,155144,LC
Hoplostethus metallicus,NA,155147,DD
Arnoglossus brunneus,NA,155149,DD
Apogon rubrimacula,NA,155151,LC
Atherion elymus,NA,155153,LC
Chirolophis snyderi,NA,155155,DD
Atrobucca kyushini,NA,155157,DD
Hygophum proximum,NA,155160,LC
Zebrias crossolepis,NA,155162,DD
Polydactylus microstomus,NA,155164,LC
Corythoichthys amplexus,NA,155165,LC
Eleutheronema tridactylum,NA,155171,DD
Pontinus macrocephalus,NA,155172,LC
Parupeneus crassilabris,NA,155176,LC
Psenopsis anomala,NA,155177,LC
Neobythites bimaculatus,NA,155184,LC
Scopeloberyx opisthopterus,NA,155189,LC
Simenchelys parasitica,NA,155190,LC
Johnius novaeguineae,NA,155192,LC
Parapercis xanthozona,NA,155200,LC
Ambassis urotaenia,NA,155201,LC
Paracentropogon vespa,NA,155219,LC
Pentaceros japonicus,NA,155222,LC
Gobiopterus mindanensis,NA,155223,LC
Scorpaenodes hirsutus,NA,155224,LC
Nemateleotris magnifica,NA,155229,LC
Rhamphocetichthys savagei,NA,155232,LC
Thryssa mystax,NA,155240,LC
Johnius trewavasae,NA,155242,DD
Branchiostegus japonicus,NA,155243,LC
Nemipterus nemurus,NA,155244,LC
Synaphobranchus kaupii,NA,155246,LC
Neopomacentrus bankieri,NA,155255,LC
Benthosema pterotum,NA,155260,LC
Brachypleura novaezeelandiae,NA,155261,LC
Scatophagus argus,NA,155268,LC
Ostorhinchus lateralis,NA,155273,LC
Apogon wassinki,NA,155274,LC
Antennarius analis,NA,155277,LC
Peristedion amblygenys,NA,155286,DD
Pseudanthias ignitus,NA,155295,LC
Pentapodus emeryii,NA,155300,LC
Rhinomuraena quaesita,NA,155301,LC
Pomacentrus milleri,NA,155304,LC
Raconda russeliana,NA,155311,LC
Nannobrachium gibbsi,NA,155320,LC
Plectrogenium nanum,NA,155322,LC
Paratriacanthodes herrei,NA,155328,LC
Ophichthus altipennis,NA,155329,LC
Pomadasys maculatus,NA,155330,LC
Nectamia fusca,NA,158626,LC
Pseudanthias pleurotaenia,NA,158627,LC
Sepia lycidas,NA,162497,DD
Sepiella inermis,NA,162500,DD
Sepia pharaonis,NA,162504,DD
Sepia latimanus,NA,162505,DD
Sepia madokai,NA,162513,DD
Sepia vietnamica,NA,162524,DD
Metasepia tullbergi,NA,162538,DD
Sepia tenuipes,NA,162540,DD
Sepia papuensis,NA,162554,LC
Heteroteuthis hawaiiensis,NA,162562,DD
Spirula spirula,NA,162587,LC
Sepia brevimana,NA,162594,DD
Idiosepius pygmaeus,NA,162604,DD
Sepia bandensis,NA,162605,DD
Sepiola birostrata,NA,162609,DD
Euprymna morsei,NA,162630,DD
Sepia recurvirostra,NA,162635,DD
Sepia elliptica,NA,162639,DD
Idiosepius paradoxus,NA,162657,DD
Sepia aculeata,NA,162662,DD
Sepia esculenta,NA,162666,DD
Inioteuthis maculosa,NA,162672,LC
Sepia opipara,NA,162680,LC
Amphitretus pelagicus,NA,162899,LC
Egea inermis,NA,162909,LC
Chtenopteryx sicula,NA,162910,DD
Eucleoteuthis luminosa,NA,162926,LC
Cranchia scabra,NA,162941,LC
Liguriella podophthalma,NA,162948,DD
Joubiniteuthis portieri,NA,162961,LC
Japetella diaphana,NA,162986,LC
Vitreledonella richardi,NA,162988,LC
Ancistrocheirus lesueuri,NA,163050,LC
Sandalops melancholicus,NA,163067,DD
Ornithoteuthis volatilis,NA,163071,LC
Argonauta argo,NA,163080,LC
Sthenoteuthis oualaniensis,NA,163152,LC
Ommastrephes bartramii,NA,163163,LC
Abralia andamanica,NA,163184,LC
Enoploteuthis chunii,NA,163187,DD
Haliphron atlanticus,NA,163207,LC
Argonauta hians,NA,163211,LC
Liocranchia reinhardti,NA,163218,LC
Thysanoteuthis rhombus,NA,163228,LC
Enoploteuthis reticulata,NA,163255,LC
Discoteuthis discus,NA,163256,LC
Taningia danae,NA,163267,LC
Hyaloteuthis pelagica,NA,163294,LC
Abralia astrosticta,NA,163302,LC
Bolitaena pygmaea,NA,163312,LC
Bathothauma lyromma,NA,163338,LC
Octopoteuthis sicula,NA,163347,DD
Pyroteuthis margaritifera,NA,163353,LC
Todaropsis eblanae,NA,163369,LC
Onychoteuthis banksii,NA,163375,DD
Conocara nigrum,NA,165912,DD
Eleotris fusca,NA,166077,LC
Bostrychus sinensis,NA,166138,LC
Glossogobius olivaceus,NA,166144,LC
Anguilla japonica,NA,166184,EN
Anguilla marmorata,NA,166189,LC
Coilia grayii,NA,166216,LC
Arius arius,NA,166446,LC
Liza tade,NA,166470,DD
Arius gagora,NA,166483,NT
Glossogobius giuris,NA,166533,LC
Pisodonophis boro,NA,166552,LC
Gazza minuta,NA,166575,LC
Drombus globiceps,NA,166598,LC
Neritina violacea,NA,166693,LC
Chelon macrolepis,NA,166856,LC
Gerres limbatus,NA,166879,LC
Terapon jarbua,NA,166892,LC
Ambassis vachellii,NA,166893,LC
Anguilla bicolor,NA,166894,NT
Gerres filamentosus,NA,166897,LC
Hyporhamphus limbatus,NA,166900,LC
Gerres oyena,NA,166919,LC
Boleophthalmus boddarti,NA,166990,LC
Rhinogobius brunneus,NA,166994,DD
Oxyurichthys tentacularis,NA,167010,DD
Johnius coitor,NA,169353,LC
Tetraroge barbata,NA,169359,LC
Nematalosa galatheae,NA,169587,LC
Coryphaena equiselis,NA,170350,LC
Hippocampus pontohi,NA,172282,DD
Hippocampus satomiae,NA,172284,DD
Ambassis gymnocephalus,NA,172321,LC
Ambassis nalua,NA,172359,LC
Ambassis interrupta,NA,172393,LC
Pomadasys argenteus,NA,172404,LC
Ambassis dussumieri,NA,172415,LC
Bathygobius fuscus,NA,172443,LC
Bunaka gyrinoides,NA,172450,LC
Ichthyocampus carce,NA,172468,LC
Hippichthys penicillus,NA,172469,LC
Lutjanus johnii,NA,172495,LC
Zenarchopterus dispar,NA,172497,LC
Chiroteuthis veranyi,NA,176066,LC
Stigmatoteuthis dofleini,NA,176079,LC
Pterygioteuthis giardi,NA,176088,LC
Priacanthus alalaua,NA,178100,LC
Enneapterygius rhabdotus,NA,178889,LC
Enneapterygius clea,NA,178891,LC
Ucla xenogrammus,NA,178892,LC
Enneapterygius flavoccipitis,NA,178894,LC
Enneapterygius rubicauda,NA,178895,LC
Helcogramma vulcana,NA,178909,LC
Helcogramma ellioti,NA,178912,LC
Enneapterygius fuscoventer,NA,178913,LC
Enneapterygius similis,NA,178915,LC
Enneapterygius signicauda,NA,178928,LC
Enneapterygius tutuilae,NA,178932,LC
Enneapterygius niger,NA,178937,LC
Helcogramma fuscipectoris,NA,178949,LC
Enneapterygius bahasa,NA,178950,LC
Springerichthys kulbickii,NA,178951,LC
Enneapterygius pyramis,NA,178957,LC
Helcogramma rhinoceros,NA,178979,LC
Helcogramma obtusirostris,NA,178981,LC
Enneapterygius pallidoserialis,NA,178985,LC
Helcogramma hudsoni,NA,178989,LC
Enneapterygius williamsi,NA,178991,LC
Norfolkia brachylepis,NA,178992,LC
Enneapterygius nanus,NA,179001,LC
Helcogramma capidata,NA,179012,LC
Enneapterygius larsonae,NA,179019,LC
Enneapterygius mirabilis,NA,179037,LC
Helcogramma nigra,NA,179040,LC
Norfolkia thomasi,NA,179043,LC
Helcogramma fuscopinna,NA,179044,LC
Springeratus xanthosoma,NA,179049,LC
Helcogramma gymnauchen,NA,179053,LC
Enneapterygius ziegleri,NA,179056,LC
Helcogramma albimacula,NA,179058,LC
Enneapterygius nigricauda,NA,179062,LC
Enneapterygius minutus,NA,179074,LC
Enneapterygius philippinus,NA,179085,LC
Enneapterygius unimaculatus,NA,179093,LC
Enneapterygius elegans,NA,179102,LC
Helcogramma desa,NA,179103,LC
Enneapterygius etheostoma,NA,179106,LC
Helcogramma chica,NA,179109,LC
Helcogramma trigloides,NA,179111,LC
Enneapterygius hemimelas,NA,179112,LC
Bathygadus sulcatus,NA,180105,DD
Coelorinchus notatus,NA,180108,DD
Coelorinchus quincunciatus,NA,180109,LC
Coelorinchus sexradiatus,NA,180110,DD
Coelorinchus thompsoni,NA,180111,LC
Coryphaenoides dubius,NA,180116,DD
Gadomus magnifilis,NA,180118,DD
Trachonurus robinsi,NA,180120,LC
Equulites laterofenestra,NA,180129,DD
Paradiancistrus cuyoensis,NA,180133,VU
Zebrias lucapensis,NA,180142,VU
Eugnathogobius variegatus,NA,180682,LC
Mugilogobius chulae,NA,180706,LC
Mugilogobius platystomus,NA,180866,LC
Ambassis miops,NA,180926,LC
Achiroides melanorhijnchus,NA,180966,LC
Eugnathogobius mindora,NA,181029,LC
Brachirus pan,NA,181100,LC
Microphis brachyurus,NA,181547,LC
Kuhlia rupestris,NA,183158,LC
Tylosurus crocodilus,NA,183274,LC
Cheilopogon dorsomacula,NA,183575,LC
Hirundichthys rondeletii,NA,183776,LC
Gymnothorax porphyreus,NA,183859,LC
Prognichthys sealei,NA,183868,LC
Doryrhamphus excisus ssp. excisus,NA,184055,LC
Sardinops sagax ssp. sagax,NA,184056,LC
Telescopium telescopium,NA,184812,LC
Auriculastra subula,NA,184918,LC
Zapogon evermanni,NA,185933,LC
Apogon quadrisquamatus,NA,185935,LC
Oxyurichthys ophthalmonema,NA,186088,LC
Stenogobius gymnopomus,NA,186089,LC
Terapon theraps,NA,187935,LC
Eugnathogobius illotus,NA,187987,LC
Ophiocara porocephala,NA,188101,LC
Neopomacentrus aquadulcis,NA,188319,EN
Clithon oualaniensis,NA,189178,LC
Cerithium coralium,NA,189314,LC
Littoraria undulata,NA,189550,LC
Ellobium aurisjudae,NA,189557,LC
Sepia filibrachia,NA,189736,LC
Lestidiops jayakari,NA,189818,LC
Cryptopsaras couesii,NA,190067,LC
Pseudocaranx dentex,NA,190070,LC
Channomuraena vittata,NA,190071,LC
Desmodema polystictum,NA,190073,LC
Remora osteochir,NA,190080,LC
Pollichthys mauli,NA,190087,LC
Trichiurus lepturus,NA,190090,LC
Malacocephalus laevis,NA,190093,LC
Lestidium atlanticum,NA,190099,LC
Eumecichthys fiski,NA,190107,LC
Luvarus imperialis,NA,190116,LC
Decapterus macarellus,NA,190117,LC
Argyropelecus affinis,NA,190118,LC
Cheilopogon cyanopterus,NA,190123,LC
Xenophthalmichthys danae,NA,190131,LC
Cyclothone microdon,NA,190133,LC
Diretmichthys parini,NA,190137,LC
Sternoptyx pseudobscura,NA,190145,LC
Searsia koefoedi,NA,190147,LC
Malacosteus niger,NA,190149,LC
Bassozetus compressus,NA,190154,LC
Lophodolos acanthognathus,NA,190157,LC
Exocoetus obtusirostris,NA,190163,LC
Decapterus tabl,NA,190164,LC
Gigantura indica,NA,190180,LC
Histrio histrio,NA,190183,LC
Rachycentron canadum,NA,190190,LC
Diaphus mollis,NA,190197,LC
Talismania antillarum,NA,190198,LC
Acanthonus armatus,NA,190201,LC
Nemichthys scolopaceus,NA,190214,LC
Platytroctes apus,NA,190217,LC
Taaningichthys bathyphilus,NA,190232,LC
Squalogadus modificatus,NA,190237,LC
Bathypterois longipes,NA,190243,LC
Cookeolus japonicus,NA,190255,LC
Cetostoma regani,NA,190260,DD
Notolychnus valdiviae,NA,190261,LC
Dolopichthys longicornis,NA,190278,LC
Ichthyococcus ovatus,NA,190285,LC
Bathylagoides argyrogaster,NA,190286,LC
Lepidocybium flavobrunneum,NA,190287,LC
Hirundichthys speculiger,NA,190292,LC
Tetragonurus atlanticus,NA,190296,LC
Photostylus pycnopterus,NA,190298,LC
Cyclothone alba,NA,190300,LC
Photostomias guernei,NA,190302,LC
Nannobrachium lineatum,NA,190311,LC
Scopelarchus analis,NA,190316,LC
Bolinichthys photothorax,NA,190317,LC
Diaphus garmani,NA,190321,LC
Chauliodus sloani,NA,190324,LC
Canthidermis sufflamen,NA,190332,LC
Acanthochaenus luetkenii,NA,190341,LC
Zu cristatus,NA,190346,LC
Cetomimus gillii,NA,190349,DD
Avocettina infans,NA,190350,LC
Aldrovandia affinis,NA,190356,LC
Lampanyctus nobilis,NA,190369,LC
Photonectes phyllopogon,NA,190376,LC
Regalecus glesne,NA,190378,LC
Cubiceps caeruleus,NA,190384,LC
Selar crumenophthalmus,NA,190388,LC
Bolinichthys indicus,NA,190390,LC
Cheilopogon furcatus,NA,190391,LC
Echeneis naucrates,NA,190393,LC
Spiniphryne gladisfenae,NA,190402,LC
Polyacanthonotus challengeri,NA,190403,LC
Diaphus anderseni,NA,190404,LC
Ditropichthys storeri,NA,190414,DD
Mola mola,NA,190422,VU
Lobianchia gemellarii,NA,190425,LC
Ruvettus pretiosus,NA,190432,LC
Canthidermis maculata,NA,190444,LC
Caulophryne jordani,NA,190447,LC
Naucrates ductor,NA,190452,LC
Phtheirichthys lineatus,NA,190461,LC
Pterois volitans,NA,190468,LC
Symbolophorus rufinus,NA,190477,LC
Scopelarchus michaelsarsi,NA,190480,LC
Melanolagus bericoides,NA,190485,LC
Pholidoteuthis massyae,NA,190925,LC
Mahidolia mystacina,NA,192982,LC
Eviota bifasciata,NA,192987,LC
Bryaninops loki,NA,192996,LC
Eviota pellucida,NA,192997,LC
Bryaninops erythrops,NA,192998,LC
Ctenogobiops aurocingulus,NA,193002,LC
Cryptocentrus caeruleomaculatus,NA,193003,LC
Trimma randalli,NA,193016,LC
Trimma hoesei,NA,193022,LC
Valenciennea helsdingenii,NA,193024,LC
Eviota queenslandica,NA,193025,LC
Palutrus scapulopunctatus,NA,193031,LC
Gobiopsis exigua,NA,193037,LC
Pleurosicya plicata,NA,193039,LC
Trimmatom nanus,NA,193041,LC
Trimma macrophthalmum,NA,193059,LC
Fusigobius pallidus,NA,193062,LC
Trimma anaima,NA,193066,LC
Priolepis nocturna,NA,193067,LC
Valenciennea puellaris,NA,193068,LC
Exyrias belissimus,NA,193073,LC
Gobiopsis quinquecincta,NA,193074,LC
Vanderhorstia ambanoro,NA,193075,LC
Eviota zebrina,NA,193076,LC
Eviota sigillata,NA,193078,LC
Amblygobius sphynx,NA,193082,LC
Trimma nasa,NA,193089,LC
Bryaninops ridens,NA,193091,LC
Exyrias puntang,NA,193092,LC
Bryaninops yongei,NA,193093,LC
Eviota infulata,NA,193107,LC
Eviota afelei,NA,193108,LC
Trimma emeryi,NA,193109,LC
Eviota zonura,NA,193123,LC
Sueviota lachneri,NA,193127,LC
Fusigobius maximus,NA,193128,LC
Eviota smaragdus,NA,193130,LC
Eviota fasciola,NA,193131,LC
Trimma halonevum,NA,193133,LC
Eviota distigma,NA,193139,LC
Oxyurichthys lonchotus,NA,193143,LC
Trimma milta,NA,193145,LC
Trimma tevegae,NA,193148,LC
Trimma benjamini,NA,193151,LC
Eviota lachdeberei,NA,193152,LC
Priolepis kappa,NA,193156,LC
Fusigobius duospilus,NA,193160,LC
Priolepis semidoliata,NA,193162,LC
Pleurosicya bilobata,NA,193163,LC
Fusigobius neophytus,NA,193167,LC
Trimma striatum,NA,193174,LC
Eviota saipanensis,NA,193175,LC
Trimma annosum,NA,193196,LC
Priolepis inhaca,NA,193200,LC
Valenciennea parva,NA,193203,LC
Trimma taylori,NA,193204,LC
Cryptocentrus strigilliceps,NA,193206,LC
Vanderhorstia ornatissima,NA,193209,LC
Trimma preclarum,NA,193212,LC
Istigobius ornatus,NA,193213,LC
Trimma cana,NA,193216,LC
Cabillus tongarevae,NA,193221,LC
Feia nympha,NA,193223,LC
Discordipinna griessingeri,NA,193226,LC
Asterropteryx spinosa,NA,193227,LC
Eviota monostigma,NA,193228,LC
Macrodontogobius wilburi,NA,193229,LC
Fusigobius humeralis,NA,193230,LC
Eviota latifasciata,NA,193235,LC
Eviota melasma,NA,193237,LC
Amblyeleotris wheeleri,NA,193238,LC
Trimma nomurai,NA,193241,LC
Ctenogobiops feroculus,NA,193244,LC
Eviota nebulosa,NA,193245,LC
Eviota sparsa,NA,193246,LC
Priolepis compita,NA,193247,LC
Cryptocentrus maudae,NA,193248,LC
Bryaninops tigris,NA,193251,LC
Istigobius spence,NA,193256,LC
Apogon hyalosoma,NA,193318,LC
Asterropteryx senoui,NA,193467,LC
Eviota shimadai,NA,193471,LC
Eviota winterbottomi,NA,193472,LC
Diodon eydouxii,NA,193606,LC
Melichthys niger,NA,193609,LC
Ranzania laevis,NA,193615,LC
Masturus lanceolatus,NA,193634,LC
Diodon hystrix,NA,193668,LC
Chilomycterus reticulatus,NA,193752,LC
Diodon holocanthus,NA,193817,LC
Aphareus furca,NA,194289,LC
Pristipomoides filamentosus,NA,194331,LC
Lutjanus russellii,NA,194334,LC
Lutjanus lutjanus,NA,194335,LC
Lipocheilus carnolabrum,NA,194336,LC
Lutjanus kasmira,NA,194337,LC
Macolor niger,NA,194338,LC
Paracaesio sordida,NA,194339,LC
Lutjanus boutton,NA,194342,LC
Lutjanus sebae,NA,194343,LC
Symphorus nematophorus,NA,194347,LC
Macolor macularis,NA,194348,LC
Paracaesio xanthura,NA,194349,LC
Etelis radiosus,NA,194350,LC
Pristipomoides auricilla,NA,194351,LC
Paracaesio gonzalesi,NA,194353,LC
Lutjanus mizenkoi,NA,194354,LC
Lutjanus rivulatus,NA,194356,LC
Lutjanus quinquelineatus,NA,194359,LC
Aphareus rutilans,NA,194360,LC
Lutjanus bohar,NA,194363,LC
Pristipomoides sieboldii,NA,194366,LC
Pristipomoides argyrogrammicus,NA,194368,LC
Lutjanus fulviflamma,NA,194370,LC
Pristipomoides zonatus,NA,194371,LC
Pinjalo lewisi,NA,194373,LC
Lutjanus vitta,NA,194374,LC
Lutjanus monostigma,NA,194376,LC
Lutjanus fulvus,NA,194377,LC
Aprion virescens,NA,194379,LC
Paracaesio stonei,NA,194380,LC
Etelis coruscans,NA,194382,LC
Pristipomoides typus,NA,194383,LC
Lutjanus gibbus,NA,194385,LC
Pristipomoides multidens,NA,194387,LC
Paracaesio kusakarii,NA,194391,LC
Lutjanus biguttatus,NA,194393,LC
Lutjanus semicinctus,NA,194398,LC
Randallichthys filamentosus,NA,194400,LC
Pristipomoides flavipinnis,NA,194401,LC
Symphorichthys spilurus,NA,194402,LC
Lutjanus ehrenbergii,NA,194407,LC
Ophisurus serpens,NA,194986,LC
Chlorophthalmus agassizi,NA,194993,LC
Arctozenus risso,NA,194997,LC
Bathysaurus mollis,NA,195001,LC
Lampris guttatus,NA,195038,LC
Seriola lalandi,NA,195097,LC
Anguilla celebesensis,NA,195503,NT
Enchelycore nigricans,NA,195694,LC
Gymnothorax polyuranodon,NA,195780,LC
Notacanthus chemnitzii,NA,195852,LC
Eptatretus burgeri,NA,196016,NT
Eptatretus carlhubbsi,NA,196018,LC
Eptatretus okinoseanus,NA,196039,LC
Myxine formosana,NA,196055,DD
Paramyxine cheni,NA,196080,VU
Paramyxine sheni,NA,196085,LC
Apogon amboinensis,NA,196305,DD
Butis amboinensis,NA,196313,LC
Eleotris acanthopoma,NA,196315,LC
Giuris margaritacea,NA,196317,LC
Awaous melanocephalus,NA,196325,DD
Glossogobius bicirrhosus,NA,196327,LC
Glossogobius celebius,NA,196328,DD
Mugilogobius notospilus,NA,196336,LC
Parioglossus formosus,NA,196339,LC
Parioglossus palustris,NA,196343,LC
Parioglossus rainfordi,NA,196344,LC
Parioglossus raoi,NA,196345,LC
Redigobius balteatus,NA,196351,LC
Stenogobius genivittatus,NA,196382,LC
Stiphodon elegans,NA,196396,LC
Taenioides cirratus,NA,196407,DD
Plectorhinchus gibbosus,NA,196408,LC
Zenarchopterus gilli,NA,196410,LC
Kuhlia mugil,NA,196412,LC
Leiognathus equulus,NA,196417,LC
Crenimugil crenilabis,NA,196421,LC
Crenimugil heterocheilos,NA,196422,LC
Lamnostoma orientalis,NA,196426,LC
Siganus vermiculatus,NA,196436,LC
Mesopristes argenteus,NA,196447,LC
Mesopristes cancellatus,NA,196448,LC
Tetraroge niger,NA,196450,LC
Ellochelon vaigiensis,NA,197054,LC
Exocoetus volitans,NA,198566,LC
Beryx decadactylus,NA,198578,LC
Hoplostethus mediterraneus,NA,198579,LC
Mora moro,NA,198602,LC
Trachipterus trachypterus,NA,198608,LC
Diaphus metopoclampus,NA,198613,LC
Diogenichthys atlanticus,NA,198614,LC
Electrona risso,NA,198615,LC
Hygophum hygomii,NA,198617,LC
Lobianchia dofleini,NA,198620,LC
Seriola dumerili,NA,198643,LC
Remora australis,NA,198650,LC
Remora remora,NA,198651,LC
Epigonus denticulatus,NA,198652,LC
Lobotes surinamensis,NA,198670,LC
Cubiceps capensis,NA,198675,LC
Tetragonurus cuvieri,NA,198716,LC
Cyclothone braueri,NA,198757,LC
Vinciguerria attenuata,NA,198758,LC
