sciname,comname,iucn_sid,cat_code
Birgus latro,NA,2811,DD
Butis butis,NA,3381,LC
Callionymus sanctaehelenae,NA,3565,CR
Cheilinus undulatus,"Humphead wrasse, Napoleon Wrasse",4592,EN
Crocodylus porosus,NA,5668,LC
Dermochelys coriacea,Leatherback Turtle,6494,VU
Dunckerocampus dactyliophorus,NA,6814,DD
Eleotris melanosoma,NA,7135,LC
Eurypegasus draconis,NA,8407,DD
Psammogobius biocellatus,NA,9266,LC
Hippocampus histrix,NA,10070,VU
Hippocampus kuda,NA,10075,VU
Hippocampus spinosissimus,NA,10084,VU
Hippocampus trimaculatus,NA,10087,VU
Hippopus hippopus,NA,10105,VU
Liosaccus pachygaster,NA,12103,VU
Pandaka pygmaea,NA,15939,CR
Favonigobius melanobranchus,NA,16011,NT
Favonigobius reichei,NA,16012,NT
Pegasus laternarius,NA,16475,VU
Pegasus volitans,NA,16476,DD
Redigobius bikolanus,NA,19388,LC
Solegnathus hardwickii,NA,20315,DD
Solegnathus lettiensis,NA,20316,DD
Tridacna crocea,NA,22135,LC
Tridacna derasa,NA,22136,VU
Tridacna gigas,NA,22137,VU
Tridacna maxima,NA,22138,VU
Tridacna squamosa,NA,22140,VU
Syngnathoides biaculeatus,NA,40715,DD
Hippocampus barbouri,NA,40802,VU
Hippocampus mohnikei,NA,41005,DD
Hippocampus comes,NA,41008,VU
Hippocampus kelloggi,NA,41010,VU
Hippocampus denise,NA,41716,DD
Stegostoma fasciatum,NA,41878,EN
Choerodon schoenleinii,NA,44669,NT
Choerodon cyanodus,NA,44670,LC
Atherinomorus lineatus,NA,46863,VU
Centrophorus granulosus,NA,60216,DD
Pellona ditchela,NA,61207,LC
Oligolepis acutipennis,NA,61213,DD
Lutjanus argentimaculatus,NA,61250,LC
Hypseleotris cyprinoides,NA,63355,DD
Tubipora musica,NA,133065,NT
Latimeria menadoensis,NA,135484,VU
Mugil cephalus,NA,135567,LC
Synaphobranchus affinis,NA,154613,LC
Laeops guentheri,NA,154615,LC
