goal,score,percent_gapfilled
FP,57.11,70.37
FIS,66,78.64
MAR,9.78,31.82
AO,62.41,0
NP,84.73,0.47
CS,89.24,39.69
CP,95.91,11.13
TR,34.96,0
LE,50.78,NA
ECO,46.94,NA
LIV,54.62,NA
SP,48,0
LSP,35.45,0
ICO,60.56,0
CW,53.46,8.33
BD,86.03,12.5
HAB,87.04,25
SPP,85.03,0
