rgn_id,taxa_code,year,tonnes,taxa
15,Banana prawn_72,1973,70,Banana prawn
15,Banana prawn_72,1974,104,Banana prawn
15,Banana prawn_72,1975,128,Banana prawn
15,Banana prawn_72,1976,158,Banana prawn
15,Banana prawn_72,1977,195,Banana prawn
15,Banana prawn_72,1978,241,Banana prawn
15,Banana prawn_72,1979,140,Banana prawn
15,Banana prawn_72,1980,64,Banana prawn
15,Banana prawn_72,1981,119,Banana prawn
15,Banana prawn_72,1982,126,Banana prawn
15,Banana prawn_72,1983,909,Banana prawn
15,Banana prawn_72,1984,2500,Banana prawn
15,Banana prawn_72,1985,2500,Banana prawn
15,Banana prawn_72,1986,2481,Banana prawn
15,Banana prawn_72,1987,2690,Banana prawn
15,Banana prawn_72,1988,2727,Banana prawn
15,Banana prawn_72,1989,3458,Banana prawn
15,Banana prawn_72,1990,779,Banana prawn
15,Banana prawn_72,1991,1445,Banana prawn
15,Banana prawn_72,1992,760,Banana prawn
15,Banana prawn_72,1993,230,Banana prawn
15,Banana prawn_72,1994,378,Banana prawn
15,Banana prawn_72,1995,346,Banana prawn
15,Banana prawn_72,1996,709,Banana prawn
15,Banana prawn_72,1997,687,Banana prawn
15,Banana prawn_72,1998,741,Banana prawn
15,Banana prawn_72,1999,1038,Banana prawn
15,Banana prawn_72,2000,1014,Banana prawn
15,Banana prawn_72,2001,1276,Banana prawn
15,Banana prawn_72,2002,1541,Banana prawn
15,Banana prawn_72,2003,1517,Banana prawn
15,Banana prawn_72,2004,1471,Banana prawn
15,Banana prawn_72,2005,1519,Banana prawn
15,Banana prawn_72,2006,1647,Banana prawn
15,Banana prawn_72,2007,2115,Banana prawn
15,Banana prawn_72,2008,2070,Banana prawn
15,Banana prawn_72,2009,2204,Banana prawn
15,Banana prawn_72,2010,2077,Banana prawn
15,Banana prawn_72,2011,1974,Banana prawn
15,Banana prawn_72,2012,1879,Banana prawn
15,Banana prawn_72,2013,1871,Banana prawn
15,Banana prawn_72,2014,1827,Banana prawn
15,Banana prawn_72,2015,1646,Banana prawn
