X1,rgn_id,commodity,product,year,gapfill
706,15,Coral and the like,corals,1991,none
707,15,Coral and the like,corals,1992,none
708,15,Coral and the like,corals,1993,none
709,15,Coral and the like,corals,1994,none
710,15,Coral and the like,corals,1995,none
711,15,Coral and the like,corals,1996,none
712,15,Coral and the like,corals,1997,none
713,15,Coral and the like,corals,1998,none
714,15,Coral and the like,corals,1999,none
715,15,Coral and the like,corals,2000,none
716,15,Coral and the like,corals,2001,none
717,15,Coral and the like,corals,2002,none
718,15,Coral and the like,corals,2003,none
719,15,Coral and the like,corals,2004,none
720,15,Coral and the like,corals,2005,none
721,15,Coral and the like,corals,2006,none
722,15,Coral and the like,corals,2007,none
723,15,Coral and the like,corals,2008,none
724,15,Coral and the like,corals,2009,none
725,15,Coral and the like,corals,2010,none
726,15,Coral and the like,corals,2011,none
727,15,Coral and the like,corals,2012,none
728,15,Coral and the like,corals,2013,none
729,15,"Fish body oils, nei",fish_oil,1977,none
730,15,"Fish body oils, nei",fish_oil,1978,none
731,15,"Fish body oils, nei",fish_oil,1979,none
732,15,"Fish body oils, nei",fish_oil,1980,none
733,15,"Fish body oils, nei",fish_oil,1981,none
734,15,"Fish body oils, nei",fish_oil,1982,none
735,15,"Fish body oils, nei",fish_oil,1983,none
736,15,"Fish body oils, nei",fish_oil,1984,zerofill
737,15,"Fish body oils, nei",fish_oil,1985,none
738,15,"Fish body oils, nei",fish_oil,1986,none
739,15,"Fish body oils, nei",fish_oil,1987,zerofill
740,15,"Fish body oils, nei",fish_oil,1988,zerofill
741,15,"Fish body oils, nei",fish_oil,1989,zerofill
742,15,"Fish body oils, nei",fish_oil,1990,zerofill
743,15,"Fish body oils, nei",fish_oil,1991,zerofill
744,15,"Fish body oils, nei",fish_oil,1992,zerofill
745,15,"Fish body oils, nei",fish_oil,1993,zerofill
746,15,"Fish body oils, nei",fish_oil,1994,zerofill
747,15,"Fish body oils, nei",fish_oil,1995,zerofill
748,15,"Fish body oils, nei",fish_oil,1996,zerofill
749,15,"Fish body oils, nei",fish_oil,1997,zerofill
750,15,"Fish body oils, nei",fish_oil,1998,zerofill
751,15,"Fish body oils, nei",fish_oil,1999,none
752,15,"Fish body oils, nei",fish_oil,2000,zerofill
753,15,"Fish body oils, nei",fish_oil,2001,none
754,15,"Fish body oils, nei",fish_oil,2002,none
755,15,"Fish body oils, nei",fish_oil,2003,none
756,15,"Fish body oils, nei",fish_oil,2004,none
757,15,"Fish body oils, nei",fish_oil,2005,none
758,15,"Fish body oils, nei",fish_oil,2006,none
