stock_name,common
Coryphaena_hippurus,Common dolphinfish
Istiophorus_platypterus,Indo-Pacific sailfish
Euthynnus_affinis,Kawakawa
Katsuwonus_pelamis,Skipjack tuna
Rastrelliger_brachysoma,Short mackerel
Scomber_japonicus,Chub mackerel
Scomberomorus_commerson,Narrowbarred Spanish mackerel
Thunnus_alalunga,Albacore
Thunnus_albacares,Yellowfin tuna
Thunnus_obesus,Bigeye tuna
Thunnus_tonggol,Longtail tuna
Makaira_indica,NA
Makaira_mazara,NA
Tetrapturus_audax,NA
Xiphias_gladius,Swordfish
Megalops_cyprinoides,Indo-Pacific tarpon
Lates_calcarifer,Barramundi
Decapterus_russelli,Indian scad
Megalaspis_cordyla,Torpedo scad
Selar_crumenophthalmus,Bigeye scad
Selaroides_leptolepis,Yellowstripe scad
Pomadasys_argenteus,NA
Elagatis_bipinnulata,Rainbow runner
Pampus_argenteus,Silver pomfret
Psettodes_erumei,Indian halibut
Mugil_cephalus,Flathead grey mullet
Prionace_glauca,Blue shark
Ruvettus_pretiosus,Oilfish
Sphyraena_barracuda,Great barracuda
Trichiurus_lepturus,Largehead hairtail
Lutjanus_argentimaculatus,Mangrove red snapper
Sardinella_gibbosa,Goldstripe sardinella
Ilisha_elongata,Elongate ilisha
Pellona_ditchela,NA
Engraulis_japonicus,Japanese anchovy
Parastromateus_niger,Black pomfret
Seriolina_nigrofasciata,Blackbanded trevally
Rachycentron_canadum,Cobia
Chirocentrus_dorab,Dorab wolfherring
Cephalopholis_boenak,Chocolate hind
Saurida_tumbil,Greater lizardfish
Cheilopogon_agoo,NA
Thunnus_orientalis,Pacific bluefin tuna
Fenneropenaeus_merguiensis,Banana prawn
Anadara_granosa,NA
Portunus_pelagicus,Blue swimming crab
Penaeus_monodon,Giant tiger prawn
Penaeus_semisulcatus,Green tiger prawn
Scylla_serrata,Indo-Pacific swamp crab
Crassostrea_iredalei,NA
Melicertus_latisulcatus,Western king prawn
Thenus_orientalis,Flathead lobster
